,Energy Consumption (J)
0,7543.0
1,15086.0
2,22629.0
3,30172.0
4,37715.0
5,45258.0
6,52801.0
7,60344.0
8,67887.0
9,75430.0
10,82973.0
11,90516.0
12,98059.0
13,105602.0
14,113145.0
15,120688.0
16,128231.0
17,135774.0
18,143317.0
19,150860.0
20,158403.0
21,165946.0
22,173489.0
23,181032.0
24,188575.0
25,196118.0
26,203661.0
27,211204.0
28,218747.0
29,226290.0
30,233833.0
31,241376.0
32,248919.0
33,256462.0
34,264005.0
35,271548.0
36,279091.0
37,286634.0
38,294177.0
39,301720.0
40,309263.0
41,316806.0
42,324349.0
43,331892.0
44,339435.0
45,346978.0
46,354521.0
47,362064.0
48,369607.0
49,377150.0
50,384693.0
51,392236.0
52,399779.0
53,407322.0
54,414865.0
55,422408.0
56,429951.0
57,437494.0
58,445037.0
59,452580.0
60,460123.0
61,467666.0
62,475209.0
63,482752.0
64,490295.0
65,497838.0
66,505381.0
67,512924.0
68,520467.0
69,528010.0
70,535553.0
71,543096.0
72,550639.0
73,558182.0
74,565725.0
75,573268.0
76,580811.0
77,588354.0
78,595897.0
79,603440.0
80,610983.0
81,618526.0
82,626069.0
83,633612.0
84,641155.0
85,648698.0
86,656241.0
87,663784.0
88,671327.0
89,678870.0
90,686413.0
91,693956.0
92,701499.0
93,709042.0
94,716585.0
95,724128.0
96,731671.0
97,739214.0
98,746757.0
99,754300.0
100,761843.0
101,769386.0
102,776929.0
103,784472.0
104,792015.0
105,799558.0
106,807101.0
107,814644.0
108,822187.0
109,829730.0
110,837273.0
111,844816.0
112,852359.0
113,859902.0
114,867445.0
115,874988.0
116,882531.0
117,890074.0
118,897617.0
119,905160.0
120,912703.0
121,920246.0
122,927789.0
123,935332.0
124,942875.0
125,950418.0
126,957961.0
127,965504.0
128,973047.0
129,980590.0
130,988133.0
131,995676.0
132,1003219.0
133,1010762.0
134,1018305.0
135,1025848.0
136,1033391.0
137,1040934.0
138,1048477.0
139,1056020.0
140,1063563.0
141,1071106.0
142,1078649.0
143,1086192.0
144,1093735.0
145,1101278.0
146,1108821.0
147,1116364.0
148,1123907.0
149,1131450.0
150,1138993.0
151,1146536.0
152,1154079.0
153,1161622.0
154,1169165.0
155,1176708.0
156,1184251.0
157,1191794.0
158,1199337.0
159,1206880.0
160,1214423.0
161,1221966.0
162,1229509.0
163,1237052.0
164,1244595.0
165,1252138.0
166,1259681.0
167,1267224.0
168,1274767.0
169,1282310.0
170,1289853.0
171,1297396.0
172,1304939.0
173,1312482.0
174,1320025.0
175,1327568.0
176,1335111.0
177,1342654.0
178,1350197.0
179,1357740.0
180,1365283.0
181,1372826.0
182,1380369.0
183,1387912.0
184,1395455.0
185,1402998.0
186,1410541.0
187,1418084.0
188,1425627.0
189,1433170.0
190,1440713.0
191,1448256.0
192,1455799.0
193,1463342.0
194,1470885.0
195,1478428.0
196,1485971.0
197,1493514.0
198,1501057.0
199,1508600.0
200,1516143.0
201,1523686.0
202,1531229.0
203,1538772.0
204,1546315.0
205,1553858.0
206,1561401.0
207,1568944.0
208,1576487.0
209,1584030.0
210,1591573.0
211,1599116.0
212,1606659.0
213,1614202.0
214,1621745.0
215,1629288.0
216,1636831.0
217,1644374.0
218,1651917.0
219,1659460.0
220,1667003.0
221,1674546.0
222,1682089.0
223,1689632.0
224,1697175.0
225,1704718.0
226,1712261.0
227,1719804.0
228,1727347.0
229,1734890.0
230,1742433.0
231,1749976.0
232,1757519.0
233,1765062.0
234,1772605.0
235,1780148.0
236,1787691.0
237,1795234.0
238,1802777.0
239,1810320.0
240,1817863.0
241,1825406.0
242,1832949.0
243,1840492.0
244,1848035.0
245,1855578.0
246,1863121.0
247,1870664.0
248,1878207.0
249,1885750.0
250,1893293.0
251,1900836.0
252,1908379.0
253,1915922.0
254,1923465.0
255,1931008.0
256,1938551.0
257,1946094.0
258,1953637.0
259,1961180.0
260,1968723.0
261,1976266.0
262,1983809.0
263,1991352.0
264,1998895.0
265,2006438.0
266,2013981.0
267,2021524.0
268,2029067.0
269,2036610.0
270,2044153.0
271,2051696.0
272,2059239.0
273,2066782.0
274,2074325.0
275,2081868.0
276,2089411.0
277,2096954.0
278,2104497.0
279,2112040.0
280,2119583.0
281,2127126.0
282,2134669.0
283,2142212.0
284,2149755.0
285,2157298.0
286,2164841.0
287,2172384.0
288,2179927.0
289,2187470.0
290,2195013.0
291,2202556.0
292,2210099.0
293,2217642.0
294,2225185.0
295,2232728.0
296,2240271.0
297,2247814.0
298,2255357.0
299,2262900.0
300,2270443.0
301,2277986.0
302,2285529.0
303,2293072.0
304,2300615.0
305,2308158.0
306,2315701.0
307,2323244.0
308,2330787.0
309,2338330.0
310,2345873.0
311,2353416.0
312,2360959.0
313,2368502.0
314,2376045.0
315,2383588.0
316,2391131.0
317,2398674.0
318,2406217.0
319,2413760.0
320,2421303.0
321,2428846.0
322,2436389.0
323,2443932.0
324,2451475.0
325,2459018.0
326,2466561.0
327,2474104.0
328,2481647.0
329,2489190.0
330,2496733.0
331,2504276.0
332,2511819.0
333,2519362.0
334,2526905.0
335,2534448.0
336,2541991.0
337,2549534.0
338,2557077.0
339,2564620.0
340,2572163.0
341,2579706.0
342,2587249.0
343,2594792.0
344,2602335.0
345,2609878.0
346,2617421.0
347,2624964.0
348,2632507.0
349,2640050.0
350,2647593.0
351,2655136.0
352,2662679.0
353,2670222.0
354,2677765.0
355,2685308.0
356,2692851.0
357,2700394.0
358,2707937.0
359,2715480.0
360,2723023.0
361,2730566.0
362,2738109.0
363,2745652.0
364,2753195.0
365,2760738.0
366,2768281.0
367,2775824.0
