,Energy Consumption (J)
0,7543.0
1,7543.0
2,7543.0
3,7543.0
4,7543.0
5,7543.0
6,7543.0
7,7543.0
8,7543.0
9,7543.0
10,7543.0
11,7543.0
12,7543.0
13,7543.0
14,7543.0
15,7543.0
16,7543.0
17,7543.0
18,7543.0
19,7543.0
20,7543.0
21,7543.0
22,7543.0
23,7543.0
24,7543.0
25,7543.0
26,7543.0
27,7543.0
28,7543.0
29,7543.0
30,7543.0
31,7543.0
32,7543.0
33,7543.0
34,7543.0
35,7543.0
36,7543.0
37,7543.0
38,7543.0
39,7543.0
40,7543.0
41,7543.0
42,7543.0
43,7543.0
44,7543.0
45,7543.0
46,7543.0
47,7543.0
48,7543.0
49,7543.0
50,7543.0
51,7543.0
52,7543.0
53,7543.0
54,7543.0
55,7543.0
56,7543.0
57,7543.0
58,7543.0
59,7543.0
60,7543.0
61,7543.0
62,7543.0
63,7543.0
64,7543.0
65,7543.0
66,7543.0
67,7543.0
68,7543.0
69,7543.0
70,7543.0
71,7543.0
72,7543.0
73,7543.0
74,7543.0
75,7543.0
76,7543.0
77,7543.0
78,7543.0
79,7543.0
80,7543.0
81,7543.0
82,7543.0
83,7543.0
84,7543.0
85,7543.0
86,7543.0
87,7543.0
88,7543.0
89,7543.0
90,7543.0
91,7543.0
92,7543.0
93,7543.0
94,7543.0
95,7543.0
96,7543.0
97,7543.0
98,7543.0
99,7543.0
100,7543.0
101,7543.0
102,7543.0
103,7543.0
104,7543.0
105,7543.0
106,7543.0
107,7543.0
108,7543.0
109,7543.0
110,7543.0
111,7543.0
112,7543.0
113,7543.0
114,7543.0
115,7543.0
116,7543.0
117,7543.0
118,7543.0
119,7543.0
120,7543.0
121,7543.0
122,7543.0
123,7543.0
124,7543.0
125,7543.0
126,7543.0
127,7543.0
128,7543.0
129,7543.0
130,7543.0
131,7543.0
132,7543.0
133,7543.0
134,7543.0
135,7543.0
136,7543.0
137,7543.0
138,7543.0
139,7543.0
140,7543.0
141,7543.0
142,7543.0
143,7543.0
144,7543.0
145,7543.0
146,7543.0
147,7543.0
148,7543.0
149,7543.0
150,7543.0
151,7543.0
152,7543.0
153,7543.0
154,7543.0
155,7543.0
156,7543.0
157,7543.0
158,7543.0
159,7543.0
160,7543.0
161,7543.0
162,7543.0
163,7543.0
164,7543.0
165,7543.0
166,7543.0
167,7543.0
168,7543.0
169,7543.0
170,7543.0
171,7543.0
172,7543.0
173,7543.0
174,7543.0
175,7543.0
176,7543.0
177,7543.0
178,7543.0
179,7543.0
180,7543.0
181,7543.0
182,7543.0
183,7543.0
184,7543.0
185,7543.0
186,7543.0
187,7543.0
188,7543.0
189,7543.0
190,7543.0
191,7543.0
192,7543.0
193,7543.0
194,7543.0
195,7543.0
196,7543.0
197,7543.0
198,7543.0
199,7543.0
200,7543.0
201,7543.0
202,7543.0
203,7543.0
204,7543.0
205,7543.0
206,7543.0
207,7543.0
208,7543.0
209,7543.0
210,7543.0
211,7543.0
212,7543.0
213,7543.0
214,7543.0
215,7543.0
216,7543.0
217,7543.0
218,7543.0
219,7543.0
220,7543.0
221,7543.0
222,7543.0
223,7543.0
224,7543.0
225,7543.0
226,7543.0
227,7543.0
228,7543.0
229,7543.0
230,7543.0
231,7543.0
232,7543.0
233,7543.0
234,7543.0
235,7543.0
236,7543.0
237,7543.0
238,7543.0
239,7543.0
240,7543.0
241,7543.0
242,7543.0
243,7543.0
244,7543.0
245,7543.0
246,7543.0
247,7543.0
248,7543.0
249,7543.0
250,7543.0
251,7543.0
252,7543.0
253,7543.0
254,7543.0
255,7543.0
256,7543.0
257,7543.0
258,7543.0
259,7543.0
260,7543.0
261,7543.0
262,7543.0
263,7543.0
264,7543.0
265,7543.0
266,7543.0
267,7543.0
268,7543.0
269,7543.0
270,7543.0
271,7543.0
272,7543.0
273,7543.0
274,7543.0
275,7543.0
276,7543.0
277,7543.0
278,7543.0
279,7543.0
280,7543.0
281,7543.0
282,7543.0
283,7543.0
284,7543.0
285,7543.0
286,7543.0
287,7543.0
288,7543.0
289,7543.0
290,7543.0
291,7543.0
292,7543.0
293,7543.0
294,7543.0
295,7543.0
296,7543.0
297,7543.0
298,7543.0
299,7543.0
300,7543.0
301,7543.0
302,7543.0
303,7543.0
304,7543.0
305,7543.0
306,7543.0
307,7543.0
308,7543.0
309,7543.0
310,7543.0
311,7543.0
312,7543.0
313,7543.0
314,7543.0
315,7543.0
316,7543.0
317,7543.0
318,7543.0
319,7543.0
320,7543.0
321,7543.0
322,7543.0
323,7543.0
324,7543.0
325,7543.0
326,7543.0
327,7543.0
328,7543.0
329,7543.0
330,7543.0
331,7543.0
332,7543.0
333,7543.0
334,7543.0
335,7543.0
336,7543.0
337,7543.0
338,7543.0
339,7543.0
340,7543.0
341,7543.0
342,7543.0
343,7543.0
344,7543.0
345,7543.0
346,7543.0
347,7543.0
348,7543.0
349,7543.0
350,7543.0
351,7543.0
352,7543.0
353,7543.0
354,7543.0
355,7543.0
356,7543.0
357,7543.0
358,7543.0
359,7543.0
360,7543.0
361,7543.0
362,7543.0
363,7543.0
364,7543.0
365,7543.0
366,7543.0
367,7543.0
368,7543.0
369,7543.0
370,7543.0
371,7543.0
372,7543.0
373,7543.0
374,7543.0
375,7543.0
376,7543.0
377,7543.0
378,7543.0
379,7543.0
380,7543.0
381,7543.0
382,7543.0
383,7543.0
384,7543.0
385,7543.0
386,7543.0
387,7543.0
388,7543.0
389,7543.0
390,7543.0
391,7543.0
392,7543.0
393,7543.0
394,7543.0
395,7543.0
396,7543.0
397,7543.0
398,7543.0
399,7543.0
400,7543.0
401,7543.0
402,7543.0
403,7543.0
404,7543.0
405,7543.0
406,7543.0
407,7543.0
408,7543.0
409,7543.0
410,7543.0
411,7543.0
412,7543.0
413,7543.0
414,7543.0
415,7543.0
416,7543.0
417,7543.0
418,7543.0
419,7543.0
420,7543.0
421,7543.0
422,7543.0
423,7543.0
424,7543.0
425,7543.0
426,7543.0
427,7543.0
428,7543.0
429,7543.0
430,7543.0
431,7543.0
432,7543.0
433,7543.0
434,7543.0
435,7543.0
436,7543.0
437,7543.0
438,7543.0
439,7543.0
440,7543.0
441,7543.0
442,7543.0
443,7543.0
444,7543.0
445,7543.0
446,7543.0
447,7543.0
448,7543.0
449,7543.0
450,7543.0
451,7543.0
452,7543.0
453,7543.0
454,7543.0
455,7543.0
456,7543.0
457,7543.0
458,7543.0
459,7543.0
460,7543.0
461,7543.0
462,7543.0
463,7543.0
464,7543.0
465,7543.0
466,7543.0
467,7543.0
468,7543.0
469,7543.0
470,7543.0
471,7543.0
472,7543.0
473,7543.0
474,7543.0
