,Energy Consumption (J)
0,7543.0
1,7543.0
2,4144.0
3,4144.0
4,4144.0
5,4144.0
6,4144.0
7,4144.0
8,4144.0
9,4144.0
10,4144.0
11,4144.0
12,4144.0
13,4144.0
14,4144.0
15,4144.0
16,4144.0
17,4144.0
18,4144.0
19,4144.0
20,4144.0
21,4144.0
22,4144.0
23,4144.0
24,4144.0
25,4144.0
26,4144.0
27,4144.0
28,4144.0
29,4144.0
30,4144.0
31,4144.0
32,4144.0
33,4144.0
34,4144.0
35,4144.0
36,4144.0
37,4144.0
38,4144.0
39,4144.0
40,4144.0
41,4144.0
42,4144.0
43,4144.0
44,4144.0
45,4144.0
46,4144.0
47,4144.0
48,4144.0
49,4144.0
50,4144.0
51,4144.0
52,4144.0
53,4144.0
54,4144.0
55,4144.0
56,4144.0
57,4144.0
58,4144.0
59,4144.0
60,4144.0
61,4144.0
62,4144.0
63,4144.0
64,4144.0
65,4144.0
66,4144.0
67,4144.0
68,4144.0
69,4144.0
70,4144.0
71,4144.0
72,4144.0
73,4144.0
74,4144.0
75,4144.0
76,4144.0
77,4144.0
78,4144.0
79,4144.0
80,4144.0
81,4144.0
82,4144.0
83,4144.0
84,4144.0
85,4144.0
86,4144.0
87,4144.0
88,4144.0
89,4144.0
90,4144.0
91,4144.0
92,4144.0
93,4144.0
94,4144.0
95,4144.0
96,4144.0
97,4144.0
98,4144.0
99,4144.0
100,4144.0
101,4144.0
102,4144.0
103,4144.0
104,4144.0
105,4144.0
106,4144.0
107,4144.0
108,4144.0
109,4144.0
110,4144.0
111,4144.0
112,4144.0
113,4144.0
114,4144.0
115,4144.0
116,4144.0
117,4144.0
118,4144.0
119,4144.0
120,4144.0
121,4144.0
122,4144.0
123,4144.0
124,4144.0
125,4144.0
126,4144.0
127,4144.0
128,4144.0
129,4144.0
130,4144.0
131,4144.0
132,4144.0
133,4144.0
134,4144.0
135,4144.0
136,4144.0
137,4144.0
138,4144.0
139,4144.0
140,4144.0
141,4144.0
142,4144.0
143,4144.0
144,4144.0
145,4144.0
146,4144.0
147,4144.0
148,4144.0
149,4144.0
150,4144.0
151,4144.0
152,4144.0
153,4144.0
154,4144.0
155,4144.0
156,4144.0
157,4144.0
158,4144.0
159,4144.0
160,4144.0
161,4144.0
162,4144.0
163,4144.0
164,4144.0
165,4144.0
166,4144.0
167,4144.0
168,4144.0
169,4144.0
170,4144.0
171,4144.0
172,4144.0
173,4144.0
174,4144.0
175,4144.0
176,4144.0
177,4144.0
178,4144.0
179,4144.0
180,4144.0
181,4144.0
182,4144.0
183,4144.0
184,4144.0
185,4144.0
186,4144.0
187,4144.0
188,4144.0
189,4144.0
190,4144.0
191,4144.0
192,4144.0
193,4144.0
194,4144.0
195,4144.0
196,4144.0
197,4144.0
198,4144.0
199,4144.0
200,4144.0
201,4144.0
202,4144.0
203,4144.0
204,4144.0
205,4144.0
206,4144.0
207,4144.0
208,4144.0
209,4144.0
210,4144.0
211,4144.0
212,4144.0
213,4144.0
214,4144.0
215,4144.0
216,4144.0
217,4144.0
218,4144.0
219,4144.0
220,4144.0
221,4144.0
222,4144.0
223,4144.0
224,4144.0
225,4144.0
226,4144.0
227,4144.0
228,4144.0
229,4144.0
230,4144.0
231,4144.0
232,4144.0
233,4144.0
234,4144.0
235,4144.0
236,4144.0
237,4144.0
238,4144.0
239,4144.0
240,4144.0
241,4144.0
242,4144.0
243,4144.0
244,4144.0
245,4144.0
246,4144.0
247,4144.0
248,4144.0
249,4144.0
250,4144.0
251,4144.0
252,4144.0
253,4144.0
254,4144.0
255,4144.0
256,4144.0
257,4144.0
258,4144.0
259,4144.0
260,4144.0
261,4144.0
262,4144.0
263,4144.0
264,4144.0
265,4144.0
266,4144.0
267,4144.0
268,4144.0
269,4144.0
270,4144.0
271,4144.0
272,4144.0
273,4144.0
274,4144.0
275,4144.0
276,4144.0
277,4144.0
278,4144.0
279,4144.0
280,4144.0
281,4144.0
282,4144.0
283,4144.0
284,4144.0
285,4144.0
286,4144.0
287,4144.0
288,4144.0
289,4144.0
290,4144.0
291,4144.0
292,4144.0
293,4144.0
294,4144.0
295,4144.0
296,4144.0
297,4144.0
298,4144.0
299,4144.0
300,4144.0
301,4144.0
302,4144.0
303,4144.0
304,4144.0
305,4144.0
306,4144.0
307,4144.0
308,4144.0
309,4144.0
310,4144.0
311,4144.0
312,4144.0
313,4144.0
314,4144.0
315,4144.0
316,4144.0
317,4144.0
318,4144.0
319,4144.0
320,4144.0
321,4144.0
322,4144.0
323,4144.0
324,4144.0
325,4144.0
326,4144.0
327,4144.0
328,4144.0
329,4144.0
330,4144.0
331,4144.0
332,4144.0
333,4144.0
334,4144.0
335,4144.0
336,4144.0
337,4144.0
338,4144.0
339,4144.0
340,4144.0
341,4144.0
342,4144.0
343,4144.0
344,4144.0
345,4144.0
346,4144.0
347,4144.0
348,4144.0
349,4144.0
350,4144.0
351,4144.0
352,4144.0
353,4144.0
354,4144.0
355,4144.0
356,4144.0
357,4144.0
358,4144.0
359,4144.0
360,4144.0
361,4144.0
362,4144.0
363,4144.0
364,4144.0
365,4144.0
366,4144.0
367,4144.0
368,4144.0
369,4144.0
370,4144.0
371,4144.0
372,4144.0
373,4144.0
374,4144.0
375,4144.0
376,4144.0
377,4144.0
378,4144.0
379,4144.0
380,4144.0
381,4144.0
382,4144.0
383,4144.0
384,4144.0
385,4144.0
386,4144.0
387,4144.0
388,4144.0
389,4144.0
390,4144.0
391,4144.0
392,4144.0
393,4144.0
394,4144.0
395,4144.0
396,4144.0
397,4144.0
398,4144.0
399,4144.0
400,4144.0
401,4144.0
402,4144.0
403,4144.0
404,4144.0
405,4144.0
406,4144.0
407,4144.0
408,4144.0
409,4144.0
410,4144.0
411,4144.0
412,4144.0
413,4144.0
414,4144.0
415,4144.0
416,4144.0
417,4144.0
418,4144.0
419,4144.0
420,4144.0
421,4144.0
422,4144.0
423,4144.0
424,4144.0
425,4144.0
426,4144.0
427,4144.0
428,4144.0
429,4144.0
430,4144.0
431,4144.0
432,4144.0
433,4144.0
434,4144.0
435,4144.0
436,4144.0
437,4144.0
438,4144.0
439,4144.0
440,4144.0
441,4144.0
442,4144.0
443,4144.0
444,4144.0
445,4144.0
446,4144.0
447,4144.0
448,4144.0
449,4144.0
450,4144.0
451,4144.0
452,4144.0
453,4144.0
454,4144.0
455,4144.0
456,4144.0
457,4144.0
458,4144.0
459,4144.0
460,4144.0
461,4144.0
462,4144.0
463,4144.0
464,4144.0
465,4144.0
466,4144.0
467,4144.0
468,4144.0
469,4144.0
470,4144.0
471,4144.0
472,4144.0
473,4144.0
474,4144.0
